Sample	Reads	OTU	chao	coverage	shannon	simpson	ID	day	treatment	 groupID	dayID
Control-0-1	33527	4412	5780	0.958362	7.44	0.0014	Control01	0	CK	d0_CK	d0
Control-0-2	48625	4966	6188	0.971928	7.46	0.0014	Control02	0	CK	d0_CK	d0
Control-0-3	55016	5026	6017	0.97717	7.47	0.0013	Control03	0	CK	d0_CK	d0
Control-3-1	29857	3048	4141	0.965636	6.69	0.0046	Control31	3	CK	d3_CK	d3
Control-3-2	33367	3081	4150	0.96982	6.67	0.0043	Control32	3	CK	d3_CK	d3
Control-3-3	33686	3267	4583	0.966752	6.72	0.0047	Control33	3	CK	d3_CK	d3
Control-7-1	26391	2981	4110	0.96154	6.88	0.0027	Control71	7	CK	d7_CK	d7
Control-7-2	31668	3166	4355	0.965928	6.82	0.0032	Control72	7	CK	d7_CK	d7
Control-7-3	25034	2812	3781	0.961293	6.7	0.0036	Control73	7	CK	d7_CK	d7
Control-15-1	25458	3220	4292	0.958991	7.15	0.0016	Control151	15	CK	d15_CK	d15
Control-15-2	34456	3393	4605	0.969439	7.12	0.0017	Control152	15	CK	d15_CK	d15
Control-15-3	41705	3757	4862	0.972977	7.13	0.0019	Control153	15	CK	d15_CK	d15
Control-21-1	20082	2884	3977	0.94871	6.98	0.0024	Control211	21	CK	d21_CK	d21
Control-21-2	16746	2648	3847	0.939747	6.94	0.0021	Control212	21	CK	d21_CK	d21
Control-21-3	32903	3383	4675	0.966173	7.01	0.0022	Control213	21	CK	d21_CK	d21
Control-30-1	36309	3682	4809	0.969484	7.17	0.0018	Control301	30	CK	d30_CK	d30
Control-30-2	25342	3210	4353	0.956673	7.07	0.0022	Control302	30	CK	d30_CK	d30
Control-30-3	30253	3462	4538	0.963243	7.16	0.0016	Control303	30	CK	d30_CK	d30
PGP41-0-1	36587	4342	5571	0.963648	7.33	0.0016	PGP4101	0	PGP41	d0_PGP41	d0
PGP41-0-2	50271	4810	5914	0.97412	7.25	0.0036	PGP4102	0	PGP41	d0_PGP41	d0
PGP41-0-3	54102	4881	6140	0.974881	7.33	0.0021	PGP4103	0	PGP41	d0_PGP41	d0
PGP41-3-1	32533	2991	4133	0.969201	6.54	0.0058	PGP4131	3	PGP41	d3_PGP41	d3
PGP41-3-2	29352	2667	3769	0.967328	6.57	0.00535	PGP4132	3	PGP41	d3_PGP41	d3
PGP41-3-3	23937	2767	3863	0.958725	6.6	0.0049	PGP4133	3	PGP41	d3_PGP41	d3
PGP41-7-1	26079	3000	4291	0.958779	6.82	0.003	PGP4171	7	PGP41	d7_PGP41	d7
PGP41-7-2	24936	2931	4211	0.957812	6.74	0.0039	PGP4172	7	PGP41	d7_PGP41	d7
PGP41-7-3	33306	3142	4364	0.969315	6.8	0.0032	PGP4173	7	PGP41	d7_PGP41	d7
PGP41-15-1	28628	3400	4453	0.962799	7.14	0.0018	PGP41151	15	PGP41	d15_PGP41	d15
PGP41-15-2	25386	3221	4753	0.95399	7.08	0.002	PGP41152	15	PGP41	d15_PGP41	d15
PGP41-15-3	29892	3488	4755	0.961327	7.13	0.0018	PGP41153	15	PGP41	d15_PGP41	d15
PGP41-21-1	36813	3567	4834	0.969875	7.1	0.002	PGP41211	21	PGP41	d21_PGP41	d21
PGP41-21-2	27896	3149	4272	0.962181	6.93	0.0025	PGP41212	21	PGP41	d21_PGP41	d21
PGP41-21-3	33796	3390	4629	0.967215	7	0.0022	PGP41213	21	PGP41	d21_PGP41	d21
PGP41-30-1	31518	3539	4711	0.964084	7.15	0.0019	PGP41301	30	PGP41	d30_PGP41	d30
PGP41-30-2	48923	4071	5168	0.976657	7.23	0.0016	PGP41302	30	PGP41	d30_PGP41	d30
PGP41-30-3	46487	3938	5037	0.976079	7.18	0.0016	PGP41303	30	PGP41	d30_PGP41	d30
PGP5-0-1	39634	4833	6418	0.960236	7.28	0.0043	PGP501	0	PGP5	d0_PGP5	d0
PGP5-0-2	48936	5180	6621	0.968367	7.25	0.0055	PGP502	0	PGP5	d0_PGP5	d0
PGP5-0-3	46596	5093	6489	0.967186	7.39	0.0028	PGP503	0	PGP5	d0_PGP5	d0
PGP5-3-1	39603	3222	4442	0.972073	6.34	0.0073	PGP531	3	PGP5	d3_PGP5	d3
