ID	day2	Treatment	 groupID	Day
Control01	0	CK	d0_CK	d0
Control02	0	CK	d0_CK	d0
Control03	0	CK	d0_CK	d0
Control31	3	CK	d3_CK	d3
Control32	3	CK	d3_CK	d3
Control33	3	CK	d3_CK	d3
Control71	7	CK	d7_CK	d7
Control72	7	CK	d7_CK	d7
Control73	7	CK	d7_CK	d7
Control151	15	CK	d15_CK	d15
Control152	15	CK	d15_CK	d15
Control153	15	CK	d15_CK	d15
Control211	21	CK	d21_CK	d21
Control212	21	CK	d21_CK	d21
Control213	21	CK	d21_CK	d21
Control301	30	CK	d30_CK	d30
Control302	30	CK	d30_CK	d30
Control303	30	CK	d30_CK	d30
PGP4101	00	PGP41	d0_PGP41	d0
PGP4102	00	PGP41	d0_PGP41	d0
PGP4103	00	PGP41	d0_PGP41	d0
PGP4131	3	PGP41	d3_PGP41	d3
PGP4132	3	PGP41	d3_PGP41	d3
PGP4133	3	PGP41	d3_PGP41	d3
PGP4171	7	PGP41	d7_PGP41	d7
PGP4172	7	PGP41	d7_PGP41	d7
PGP4173	7	PGP41	d7_PGP41	d7
PGP41151	15	PGP41	d15_PGP41	d15
PGP41152	15	PGP41	d15_PGP41	d15
PGP41153	15	PGP41	d15_PGP41	d15
PGP41211	21	PGP41	d21_PGP41	d21
PGP41212	21	PGP41	d21_PGP41	d21
PGP41213	21	PGP41	d21_PGP41	d21
PGP41301	30	PGP41	d30_PGP41	d30
PGP41302	30	PGP41	d30_PGP41	d30
PGP41303	30	PGP41	d30_PGP41	d30
PGP501	0	PGP5	d0_PGP5	d0
PGP502	0	PGP5	d0_PGP5	d0
PGP503	0	PGP5	d0_PGP5	d0
PGP531	3	PGP5	d3_PGP5	d3
PGP532	3	PGP5	d3_PGP5	d3
PGP533	3	PGP5	d3_PGP5	d3
PGP571	7	PGP5	d7_PGP5	d7
PGP572	7	PGP5	d7_PGP5	d7
PGP573	7	PGP5	d7_PGP5	d7
PGP5151	15	PGP5	d15_PGP5	d15
PGP5152	15	PGP5	d15_PGP5	d15
PGP5153	15	PGP5	d15_PGP5	d15
PGP5211	21	PGP5	d21_PGP5	d21
PGP5212	21	PGP5	d21_PGP5	d21
PGP5213	21	PGP5	d21_PGP5	d21
PGP5301	30	PGP5	d30_PGP5	d30
PGP5302	30	PGP5	d30_PGP5	d30
PGP5303	30	PGP5	d30_PGP5	d30
