ID	Control01	Control02	Control03	Control31	Control32	Control33	Control71	Control72	Control73	Control151	Control152	Control153	Control211	Control212	Control213	Control301	Control302	Control303	PGP4101	PGP4102	PGP4103	PGP4131	PGP4132	PGP4133	PGP4171	PGP4172	PGP4173	PGP41151	PGP41152	PGP41153	PGP41211	PGP41212	PGP41213	PGP41301	PGP41302	PGP41303	PGP501	PGP502	PGP503	PGP531	PGP532	PGP533	PGP571	PGP572	PGP573	PGP5151	PGP5152	PGP5153	PGP5211	PGP5212	PGP5213	PGP5301	PGP5302	PGP5303
OTU1	45	23	18	349	182	584	232	321	179	126	138	252	383	184	202	113	92	137	37	73	40	438	774	282	170	249	203	166	180	123	228	299	139	96	166	58	210	109	114	104	151	260	244	292	111	362	206	238	260	272	685	72	94	97
OTU2	152	99	159	150	72	129	193	177	26	130	265	202	197	73	251	290	405	168	43	217	160	151	99	431	231	194	211	222	286	272	169	192	129	334	214	89	149	187	203	24	96	177	134	163	63	216	267	302	148	221	185	458	236	195
OTU3	14	15	9	480	541	372	256	255	387	104	61	114	174	206	201	42	49	54	20	11	8	501	429	486	249	418	284	132	72	67	166	172	147	53	49	98	4	5	3	515	497	294	151	225	208	264	169	104	118	116	164	26	26	51
OTU4	3	2	3	514	445	377	180	234	368	133	65	102	146	187	178	51	38	37	3	3	3	458	391	455	187	319	222	98	114	66	105	142	144	54	60	73	2	3	4	539	559	250	142	136	173	236	193	88	109	109	144	23	28	45
OTU5	84	27	35	161	128	345	168	172	92	97	148	165	217	90	165	153	160	198	27	35	37	198	268	133	123	218	179	168	176	116	201	213	115	173	147	92	160	58	68	79	107	172	194	198	122	219	129	164	233	209	511	88	107	163
OTU6	8	11	2	320	308	261	259	298	296	127	96	129	153	158	144	56	57	52	4	3	4	317	172	239	280	204	248	102	73	147	129	191	180	101	69	96	3	1	7	437	299	217	156	125	190	111	131	63	107	92	74	90	96	100
OTU7	79	119	73	167	166	125	166	153	187	101	58	94	86	135	133	85	68	84	131	56	59	132	153	164	166	184	159	99	115	99	87	145	138	71	107	125	61	45	40	227	267	191	133	139	176	162	123	113	133	95	111	91	83	118
OTU8	9	0	3	45	26	85	26	38	19	18	9	21	41	19	26	6	3	18	287	727	453	518	1884	293	141	402	280	52	126	67	48	59	20	6	10	7	17	12	12	13	11	26	28	28	12	35	20	26	22	18	78	4	9	6
OTU9	6	5	10	236	183	160	246	244	276	101	61	77	133	167	119	37	37	48	16	5	5	248	163	203	225	250	286	94	94	83	167	186	222	51	47	58	7	6	4	420	284	194	111	163	154	111	114	52	61	82	91	45	68	63
OTU10	54	63	57	181	150	104	118	176	182	103	54	85	117	136	128	53	40	75	83	43	44	176	173	156	130	173	186	80	109	90	96	143	125	62	84	83	39	43	50	264	284	154	120	95	124	107	81	78	83	79	66	58	59	63
OTU11	2	2	2	17	40	17	21	19	26	17	12	15	33	39	35	20	18	35	4	2	1	10	15	15	12	22	16	31	26	36	20	21	26	15	31	40	829	1023	635	547	87	72	34	29	33	96	15	18	19	23	25	8	16	25
OTU12	167	109	160	43	7	47	71	81	13	51	83	76	62	17	69	141	191	79	58	332	234	36	35	130	72	76	63	83	91	104	55	65	32	142	82	45	80	116	98	2	16	40	49	41	27	89	89	81	67	67	73	211	114	116
OTU13	59	45	50	106	30	69	130	116	26	68	149	129	104	46	110	214	155	116	27	108	68	88	76	170	105	114	83	73	150	141	78	76	49	106	76	27	34	73	56	15	44	87	103	78	27	84	141	115	80	101	48	156	113	86
OTU14	101	67	98	112	245	96	128	76	81	28	59	89	89	157	51	94	53	91	69	75	95	111	46	44	55	71	87	48	69	60	89	57	230	88	95	172	50	54	67	87	28	83	78	76	150	49	67	92	98	107	96	25	77	118
OTU15	202	245	165	67	151	102	67	55	142	106	67	113	130	147	134	97	34	85	86	63	76	54	42	69	75	42	47	83	65	142	78	69	119	42	56	68	108	129	103	224	49	47	20	22	33	49	12	26	49	73	44	28	30	50
OTU16	5	4	4	123	148	105	113	72	92	74	94	56	55	66	50	65	39	38	1	2	2	115	96	98	139	86	138	41	31	45	60	79	129	78	66	86	9	11	7	195	201	277	75	86	114	49	89	41	59	59	57	70	72	69
OTU17	51	68	54	64	82	67	60	53	89	84	67	63	84	110	87	80	60	73	82	52	59	54	48	48	58	68	48	68	54	64	68	74	78	80	82	125	57	63	92	71	83	47	62	55	95	82	62	64	78	67	74	63	54	79
OTU18	56	58	51	99	95	74	89	79	93	65	38	52	64	77	81	44	35	47	75	48	45	74	84	81	71	107	101	51	66	48	54	65	77	47	59	65	35	17	30	126	137	70	56	52	81	67	41	50	54	66	62	62	64	67
OTU19	24	10	10	71	39	184	80	77	34	46	53	79	81	46	86	64	61	85	9	16	6	76	135	50	69	69	68	62	56	65	76	108	58	50	81	32	71	32	30	41	58	73	77	86	39	103	67	68	77	83	245	37	41	62
OTU20	68	36	80	44	23	53	47	57	14	36	66	90	42	17	67	97	129	56	10	92	88	50	38	139	70	63	69	66	81	106	74	64	39	100	60	32	35	44	56	3	20	70	73	58	17	59	107	113	55	76	52	124	60	72
OTU21	4	2	3	67	103	59	77	82	142	83	46	66	79	102	73	66	68	64	1	7	1	68	59	61	101	119	107	104	85	65	71	110	87	67	94	116	25	23	31	67	62	48	64	80	86	60	81	50	60	71	68	42	51	46
OTU22	21	17	25	57	39	49	51	51	38	44	68	84	49	40	51	74	61	100	18	13	21	42	47	50	41	52	79	62	67	53	57	56	49	85	81	97	71	70	65	46	61	67	63	55	64	75	62	63	100	106	93	68	85	85
OTU23	64	52	49	41	63	48	55	34	53	70	43	50	53	73	66	61	47	73	68	41	67	38	41	49	33	56	49	57	45	57	56	48	62	70	85	117	48	59	46	64	48	29	57	35	61	50	45	50	43	49	76	77	62	87
OTU24	1	2	1	243	188	258	83	100	123	57	20	33	55	39	35	8	17	12	0	0	1	177	118	168	116	56	73	33	27	51	35	46	53	12	18	34	0	1	2	247	255	156	36	31	45	34	34	14	26	15	28	13	18	31
OTU25	2	2	3	130	109	109	140	195	135	63	24	59	79	89	59	26	15	29	2	0	3	100	60	90	96	91	108	32	28	62	47	91	64	34	37	29	2	1	0	196	137	103	79	69	104	62	63	32	40	40	26	12	25	34
OTU26	67	74	45	36	78	51	46	36	85	54	45	70	65	95	87	49	19	49	31	19	13	54	29	71	31	28	24	46	40	75	39	45	69	35	33	24	85	83	67	248	54	50	15	25	16	62	11	21	64	40	60	16	16	18
OTU27	33	35	18	64	60	75	61	47	71	63	53	64	54	70	56	37	32	45	25	15	22	36	39	47	74	56	60	60	43	69	65	87	89	69	78	102	26	31	43	44	57	41	40	34	69	35	32	38	56	44	50	43	73	60
OTU28	27	22	24	49	27	43	38	49	37	43	43	57	43	53	52	75	68	91	14	18	19	42	38	27	27	45	52	52	64	26	58	55	43	65	54	80	41	32	45	38	67	44	55	53	47	62	61	70	53	91	67	51	79	59
OTU29	42	29	20	45	74	52	46	45	63	70	45	44	55	56	64	55	34	54	43	23	27	31	49	48	40	46	57	62	49	62	53	49	57	53	62	87	43	26	43	48	54	29	29	37	57	72	37	49	56	62	45	58	58	67
OTU30	7	6	2	155	123	116	52	59	129	54	20	50	35	60	70	11	10	16	2	1	2	153	118	136	84	81	66	41	32	23	35	49	50	5	14	17	4	0	3	153	153	93	73	72	80	107	59	28	33	38	59	4	6	10
OTU31	85	100	92	33	33	40	33	19	49	62	21	37	31	46	48	37	33	39	105	77	72	39	41	25	16	27	41	42	36	38	28	40	37	40	41	51	57	49	41	52	49	23	48	41	49	41	37	29	41	50	34	45	44	58
OTU32	51	34	38	27	48	40	32	28	45	74	31	52	43	59	77	54	58	43	53	28	39	27	28	37	24	35	24	49	40	54	41	38	75	66	72	72	30	21	41	37	36	27	46	40	54	59	46	39	66	76	54	76	71	87
OTU33	70	97	81	31	56	36	32	21	37	44	30	32	32	50	46	43	35	43	90	69	49	22	26	23	34	37	29	39	47	50	32	25	46	43	70	60	63	78	76	40	28	25	26	19	37	39	25	29	47	42	27	30	34	60
OTU34	3	5	3	49	59	65	117	154	65	69	22	40	54	60	79	35	29	25	2	1	5	66	59	47	127	107	130	49	69	72	101	101	113	25	35	33	4	1	3	80	83	64	22	29	50	43	47	27	32	43	33	19	22	44
OTU35	2	1	1	72	37	113	65	64	28	16	33	55	68	25	66	55	47	51	2	1	3	67	94	38	55	44	53	60	48	41	62	92	42	40	36	22	30	16	16	23	37	48	52	59	22	89	50	49	69	72	234	16	25	49
OTU36	45	47	54	37	54	41	38	38	33	54	33	44	48	62	75	52	41	59	57	27	37	26	29	43	33	61	30	34	38	38	35	31	47	53	49	82	46	32	30	39	44	27	35	33	39	52	32	32	52	61	42	46	42	62
OTU37	48	69	60	8	12	16	29	27	30	39	30	43	37	52	36	39	47	58	66	46	58	15	17	11	25	13	50	62	62	50	28	39	38	46	52	48	25	42	25	22	15	11	60	57	76	46	76	45	58	54	62	44	43	67
