OTU ID,Control-0-1,Control-0-2,Control-0-3,Control-3-1,Control-3-2,Control-3-3,Control-7-1,Control-7-2,Control-7-3,Control-15-1,Control-15-2,Control-15-3,Control-21-1,Control-21-2,Control-21-3,Control-30-1,Control-30-2,Control-30-3,PGP41-0-1,PGP41-0-2,PGP41-0-3,PGP41-3-1,PGP41-3-2,PGP41-3-3,PGP41-7-1,PGP41-7-2,PGP41-7-3,PGP41-15-1,PGP41-15-2,PGP41-15-3,PGP41-21-1,PGP41-21-2,PGP41-21-3,PGP41-30-1,PGP41-30-2,PGP41-30-3,PGP5-0-1,PGP5-0-2,PGP5-0-3,PGP5-3-1,PGP5-3-2,PGP5-3-3,PGP5-7-1,PGP5-7-2,PGP5-7-3,PGP5-15-1,PGP5-15-2,PGP5-15-3,PGP5-21-1,PGP5-21-2,PGP5-21-3,PGP5-30-1,PGP5-30-2,PGP5-30-3,taxonomy
OTU1,45,23,18,349,182,584,232,321,179,126,138,252,383,184,202,113,92,137,37,73,40,438,774,282,170,249,203,166,180,123,228,299,139,96,166,58,210,109,114,104,151,260,244,292,111,362,206,238,260,272,685,72,94,97,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter
OTU2,152,99,159,150,72,129,193,177,26,130,265,202,197,73,251,290,405,168,43,217,160,151,99,431,231,194,211,222,286,272,169,192,129,334,214,89,149,187,203,24,96,177,134,163,63,216,267,302,148,221,185,458,236,195,d__Bacteria; p__Chloroflexi; c__KD4-96; o__norank; f__norank; g__norank; s__uncultured bacterium
OTU3,14,15,9,480,541,372,256,255,387,104,61,114,174,206,201,42,49,54,20,11,8,501,429,486,249,418,284,132,72,67,166,172,147,53,49,98,4,5,3,515,497,294,151,225,208,264,169,104,118,116,164,26,26,51,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Pontibacter; s__uncultured bacterium
OTU4,3,2,3,514,445,377,180,234,368,133,65,102,146,187,178,51,38,37,3,3,3,458,391,455,187,319,222,98,114,66,105,142,144,54,60,73,2,3,4,539,559,250,142,136,173,236,193,88,109,109,144,23,28,45,d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Pontibacter; s__uncultured bacterium
OTU5,84,27,35,161,128,345,168,172,92,97,148,165,217,90,165,153,160,198,27,35,37,198,268,133,123,218,179,168,176,116,201,213,115,173,147,92,160,58,68,79,107,172,194,198,122,219,129,164,233,209,511,88,107,163,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Knoellia
OTU6,8,11,2,320,308,261,259,298,296,127,96,129,153,158,144,56,57,52,4,3,4,317,172,239,280,204,248,102,73,147,129,191,180,101,69,96,3,1,7,437,299,217,156,125,190,111,131,63,107,92,74,90,96,100,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
OTU7,79,119,73,167,166,125,166,153,187,101,58,94,86,135,133,85,68,84,131,56,59,132,153,164,166,184,159,99,115,99,87,145,138,71,107,125,61,45,40,227,267,191,133,139,176,162,123,113,133,95,111,91,83,118,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__uncultured Sphingomonadaceae bacterium
OTU8,9,0,3,45,26,85,26,38,19,18,9,21,41,19,26,6,3,18,287,727,453,518,1884,293,141,402,280,52,126,67,48,59,20,6,10,7,17,12,12,13,11,26,28,28,12,35,20,26,22,18,78,4,9,6,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter
OTU9,6,5,10,236,183,160,246,244,276,101,61,77,133,167,119,37,37,48,16,5,5,248,163,203,225,250,286,94,94,83,167,186,222,51,47,58,7,6,4,420,284,194,111,163,154,111,114,52,61,82,91,45,68,63,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter; s__uncultured bacterium
OTU10,54,63,57,181,150,104,118,176,182,103,54,85,117,136,128,53,40,75,83,43,44,176,173,156,130,173,186,80,109,90,96,143,125,62,84,83,39,43,50,264,284,154,120,95,124,107,81,78,83,79,66,58,59,63,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__uncultured bacterium
