ID,OTU8,OTU11,day2,Treatment,groupID,Day
Control01,9,2,0,CK,d0_CK,d0
Control02,0,2,0,CK,d0_CK,d0
Control03,3,2,0,CK,d0_CK,d0
Control31,45,17,3,CK,d3_CK,d3
Control32,26,40,3,CK,d3_CK,d3
Control33,85,17,3,CK,d3_CK,d3
Control71,26,21,7,CK,d7_CK,d7
Control72,38,19,7,CK,d7_CK,d7
Control73,19,26,7,CK,d7_CK,d7
Control151,18,17,15,CK,d15_CK,d15
Control152,9,12,15,CK,d15_CK,d15
Control153,21,15,15,CK,d15_CK,d15
Control211,41,33,21,CK,d21_CK,d21
Control212,19,39,21,CK,d21_CK,d21
Control213,26,35,21,CK,d21_CK,d21
Control301,6,20,30,CK,d30_CK,d30
Control302,3,18,30,CK,d30_CK,d30
Control303,18,35,30,CK,d30_CK,d30
PGP4101,287,4,0,PGP41,d0_PGP41,d0
PGP4102,727,2,0,PGP41,d0_PGP41,d0
PGP4103,453,1,0,PGP41,d0_PGP41,d0
PGP4131,518,10,3,PGP41,d3_PGP41,d3
PGP4132,1884,15,3,PGP41,d3_PGP41,d3
PGP4133,293,15,3,PGP41,d3_PGP41,d3
PGP4171,141,12,7,PGP41,d7_PGP41,d7
PGP4172,402,22,7,PGP41,d7_PGP41,d7
PGP4173,280,16,7,PGP41,d7_PGP41,d7
PGP41151,52,31,15,PGP41,d15_PGP41,d15
PGP41152,126,26,15,PGP41,d15_PGP41,d15
PGP41153,67,36,15,PGP41,d15_PGP41,d15
PGP41211,48,20,21,PGP41,d21_PGP41,d21
PGP41212,59,21,21,PGP41,d21_PGP41,d21
PGP41213,20,26,21,PGP41,d21_PGP41,d21
PGP41301,6,15,30,PGP41,d30_PGP41,d30
PGP41302,10,31,30,PGP41,d30_PGP41,d30
PGP41303,7,40,30,PGP41,d30_PGP41,d30
PGP501,17,829,0,PGP5,d0_PGP5,d0
PGP502,12,1023,0,PGP5,d0_PGP5,d0
PGP503,12,635,0,PGP5,d0_PGP5,d0
PGP531,13,547,3,PGP5,d3_PGP5,d3
PGP532,11,87,3,PGP5,d3_PGP5,d3
PGP533,26,72,3,PGP5,d3_PGP5,d3
PGP571,28,34,7,PGP5,d7_PGP5,d7
PGP572,28,29,7,PGP5,d7_PGP5,d7
PGP573,12,33,7,PGP5,d7_PGP5,d7
PGP5151,35,96,15,PGP5,d15_PGP5,d15
PGP5152,20,15,15,PGP5,d15_PGP5,d15
PGP5153,26,18,15,PGP5,d15_PGP5,d15
PGP5211,22,19,21,PGP5,d21_PGP5,d21
PGP5212,18,23,21,PGP5,d21_PGP5,d21
PGP5213,78,25,21,PGP5,d21_PGP5,d21
PGP5301,4,8,30,PGP5,d30_PGP5,d30
PGP5302,9,16,30,PGP5,d30_PGP5,d30
PGP5303,6,25,30,PGP5,d30_PGP5,d30
