ID	PC1	PC2	PC3	Day1	Treatment	Group	Day
Control-0-1	-1.407575095	0.081858075	0.052382728	0	CK	d0_CK	d0
Control-0-2	-1.624954017	-0.079148265	0.151922605	0	CK	d0_CK	d0
Control-0-3	-1.540760196	0.049966098	0.067604418	0	CK	d0_CK	d0
Control-3-1	0.431314595	-0.355682084	-0.137235364	3	CK	d3_CK	d3
Control-3-2	0.187520386	-0.566278344	0.121150851	3	CK	d3_CK	d3
Control-3-3	0.346233371	-0.266244235	-0.148089802	3	CK	d3_CK	d3
Control-7-1	0.530190092	-0.044468312	-0.05978408	7	CK	d7_CK	d7
Control-7-2	0.466976225	-0.169852755	-0.102224919	7	CK	d7_CK	d7
Control-7-3	0.197804923	-0.589619756	0.16355179	7	CK	d7_CK	d7
Control-15-1	0.349030111	0.049709056	0.227329394	15	CK	d15_CK	d15
Control-15-2	0.08496949	0.327044068	-0.147145377	15	CK	d15_CK	d15
Control-15-3	0.461691233	0.243405063	0.07095337	15	CK	d15_CK	d15
Control-21-1	0.529770316	0.065377022	0.057830037	21	CK	d21_CK	d21
Control-21-2	0.328186225	-0.237359814	0.30063059	21	CK	d21_CK	d21
Control-21-3	0.415332296	0.048570399	0.104298339	21	CK	d21_CK	d21
Control-30-1	0.206600601	0.413433964	0.005361549	30	CK	d30_CK	d30
Control-30-2	-0.016963679	0.429216402	-0.199233407	30	CK	d30_CK	d30
Control-30-3	0.184754873	0.357190656	0.044585557	30	CK	d30_CK	d30
PGP41-0-1	-1.696736388	-0.253021878	0.20966807	0	PGP41	d0_PGP41	d0
PGP41-0-2	-1.645113238	-0.030689848	-0.129286515	0	PGP41	d0_PGP41	d0
PGP41-0-3	-1.636598182	-0.000202965	-0.086519035	0	PGP41	d0_PGP41	d0
PGP41-3-1	0.294098069	-0.452161434	-0.202882417	3	PGP41	d3_PGP41	d3
PGP41-3-2	-0.119926822	-0.621574403	-0.231376025	3	PGP41	d3_PGP41	d3
PGP41-3-3	0.20061298	-0.28355113	-0.341133815	3	PGP41	d3_PGP41	d3
PGP41-7-1	0.367506565	-0.217623089	-0.121293894	7	PGP41	d7_PGP41	d7
PGP41-7-2	0.422252695	-0.241149952	-0.096490958	7	PGP41	d7_PGP41	d7
PGP41-7-3	0.425486154	-0.203970672	-0.05968671	7	PGP41	d7_PGP41	d7
PGP41-15-1	0.336537151	0.129754951	0.183187083	15	PGP41	d15_PGP41	d15
PGP41-15-2	0.369998303	0.280360622	-0.038178787	15	PGP41	d15_PGP41	d15
PGP41-15-3	0.320691958	0.277027617	0.004365578	15	PGP41	d15_PGP41	d15
PGP41-21-1	0.399386736	0.095569005	0.065686527	21	PGP41	d21_PGP41	d21
PGP41-21-2	0.469972139	-0.076957519	0.085934486	21	PGP41	d21_PGP41	d21
PGP41-21-3	0.373020955	-0.146121596	0.235574284	21	PGP41	d21_PGP41	d21
PGP41-30-1	0.142829957	0.430026558	-0.074193893	30	PGP41	d30_PGP41	d30
PGP41-30-2	0.242706797	0.353104689	0.084613291	30	PGP41	d30_PGP41	d30
PGP41-30-3	0.009175741	-0.019418675	0.354402248	30	PGP41	d30_PGP41	d30
PGP5-0-1	-0.747792893	0.178682261	-0.07598435	0	PGP5	d0_PGP5	d0
PGP5-0-2	-0.86742629	0.153517828	-0.087381279	0	PGP5	d0_PGP5	d0
PGP5-0-3	-0.753956039	0.196874152	-0.096376271	0	PGP5	d0_PGP5	d0
PGP5-3-1	-0.187773229	-0.759857304	-0.019431943	3	PGP5	d3_PGP5	d3
PGP5-3-2	0.221391413	-0.483717399	-0.061567481	3	PGP5	d3_PGP5	d3
PGP5-3-3	0.219349771	-0.103529529	-0.274804476	3	PGP5	d3_PGP5	d3
PGP5-7-1	0.30926573	0.059003693	0.015589818	7	PGP5	d7_PGP5	d7
PGP5-7-2	0.313930698	-0.030577253	0.005263391	7	PGP5	d7_PGP5	d7
PGP5-7-3	0.147638642	-0.298116699	0.244173655	7	PGP5	d7_PGP5	d7
PGP5-15-1	0.378124694	-0.036324394	0.038832732	15	PGP5	d15_PGP5	d15
PGP5-15-2	0.371968936	0.214907871	-0.013554045	15	PGP5	d15_PGP5	d15
PGP5-15-3	0.166482764	0.317006369	-0.154894578	15	PGP5	d15_PGP5	d15
PGP5-21-1	0.343062072	0.306818382	0.04328691	21	PGP5	d21_PGP5	d21
PGP5-21-2	0.419712145	0.290953587	0.063806397	21	PGP5	d21_PGP5	d21
PGP5-21-3	0.260446854	0.075003298	0.07459784	21	PGP5	d21_PGP5	d21
PGP5-30-1	-0.215040378	0.36618105	-0.165890308	30	PGP5	d30_PGP5	d30
PGP5-30-2	0.02984527	0.40981538	-0.023005966	30	PGP5	d30_PGP5	d30
PGP5-30-3	0.184746518	0.366841188	0.07106216	30	PGP5	d30_PGP5	d30
